name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,shirtNumber,dateOfBirthTimestamp,team.name,team.slug,team.shortName,team.gender,team.sport.name,team.sport.slug,team.sport.id,team.primaryUniqueTournament.name,team.primaryUniqueTournament.slug,team.primaryUniqueTournament.primaryColorHex,team.primaryUniqueTournament.secondaryColorHex,team.primaryUniqueTournament.category.name,team.primaryUniqueTournament.category.slug,team.primaryUniqueTournament.category.sport.name,team.primaryUniqueTournament.category.sport.slug,team.primaryUniqueTournament.category.sport.id,team.primaryUniqueTournament.category.id,team.primaryUniqueTournament.category.flag,team.primaryUniqueTournament.category.alpha2,team.primaryUniqueTournament.userCount,team.primaryUniqueTournament.id,team.primaryUniqueTournament.displayInverseHomeAwayTeams,team.userCount,team.nameCode,team.disabled,team.national,team.type,team.id,team.country.alpha2,team.country.name,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text,country.alpha2,country.name,preferredFoot,contractUntilTimestamp,proposedMarketValue,proposedMarketValueRaw.value,proposedMarketValueRaw.currency,retired,deceased,gender
Federico Gattoni,,,federico-gattoni,F. Gattoni,D,2,183.0,483,941464,2.0,919123200.0,Sevilla,sevilla,Sevilla,M,Football,football,1,LaLiga,laliga,#2f4a89,#f4a32e,Spain,spain,Football,football,1.0,32.0,spain,ES,894998.0,8.0,False,306693,SEV,False,False,0,2833,ES,Spain,#ffffff,#cc1020,#cc1020,AR,Argentina,Right,1814313600.0,3600000.0,3600000.0,EUR,,,
Manuel Roffo,,,manuel-roffo,M. Roffo,G,28,184.0,95,881166,28.0,954806400.0,Instituto Córdoba,instituto-cordoba,Instituto,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,7806,IAC,,False,0,4937,AR,Argentina,#e72328,#222226,#222226,AR,Argentina,Right,1735603200.0,1500000.0,1500000.0,EUR,,,
Malcom Braida,,,malcom-braida,M. Braida,M,21,175.0,110,994453,21.0,863827200.0,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,20794,SLO,False,False,0,3201,AR,Argentina,#ff0000,#000033,#000033,AR,Argentina,Right,1735603200.0,3800000.0,3800000.0,EUR,,,
Matías Mansilla,,,matias-mansilla,M. Mansilla,G,22,192.0,14,1099481,22.0,824342400.0,Central Córdoba,central-cordoba,Central Córdoba,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,7905,CC,False,False,0,65676,AR,Argentina,#ffffff,#000000,#000000,AR,Argentina,Right,1767139200.0,775000.0,775000.0,EUR,,,
Gabriel Ávalos,,,gabriel-avalos,G. Ávalos,F,9,188.0,641,789453,9.0,655689600.0,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,17737,ARG,False,False,0,3216,AR,Argentina,#cc0000,#ffffff,#ffffff,PY,Paraguay,Right,1735603200.0,1500000.0,1500000.0,EUR,False,,
David Barbona,,,david-barbona,D. Barbona,M,19,179.0,72,789910,19.0,793411200.0,Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,20270,DYJ,False,False,0,36839,AR,Argentina,#ffff00,#339900,#339900,AR,Argentina,Right,1703980800.0,2100000.0,2100000.0,EUR,,,
Carlos Quintana,,,carlos-quintana,C. Quintana,D,2,191.0,38,33202,2.0,571536000.0,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,12753,ROS,False,False,0,3217,AR,Argentina,#000066,#ffcc00,#ffcc00,AR,Argentina,Both,1703980800.0,120000.0,120000.0,EUR,False,,
Matías García,,,matias-garcia,M. García,M,15,174.0,44,340863,15.0,688089600.0,Belgrano,belgrano,Belgrano,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,11438,BEL,,False,0,3203,AR,Argentina,#3399ff,#3399ff,#3399ff,AR,Argentina,Left,1735603200.0,620000.0,620000.0,EUR,,,
Pablo Vegetti,,,pablo-vegetti,Pablo Vegetti,F,99,187.0,2052,583974,99.0,592876800.0,Vasco da Gama,vasco-da-gama,Vasco,M,Football,football,1,Brasileirão Série A,brasileirao-serie-a,#C7FF00,#969696,Brazil,brazil,Football,football,1.0,13.0,brazil,BR,279105.0,325.0,False,103353,VAS,False,False,0,1974,BR,Brazil,#ffffff,#000000,#000000,AR,Argentina,Right,1751241600.0,485000.0,485000.0,EUR,False,False,
Enzo Pérez,,,enzo-perez,E. Pérez,M,24,177.0,543,33958,24.0,509414400.0,River Plate,river-plate,River,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,97384,RIV,False,False,0,3211,AR,Argentina,#ffffff,#ff0000,#ff0000,AR,Argentina,Right,1703980800.0,970000.0,970000.0,EUR,,,
Jonathan Galván,,,jonathan-galvan,J. Galván,D,19,185.0,38,789271,19.0,709430400.0,Argentinos Juniors,argentinos-juniors,Argentinos Jrs.,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,17737,ARG,False,False,0,3216,AR,Argentina,#cc0000,#ffffff,#ffffff,AR,Argentina,Right,1767139200.0,455000.0,455000.0,EUR,,,
Lucas Merolla,,,lucas-merolla,L. Merolla,D,19,193.0,98,833542,19.0,804211200.0,Mazatlán FC,mazatlan-fc,Mazatlán ,M,Football,football,1,"Liga MX, Clausura",liga-mx-clausura,#cd2c25,#52b030,Mexico,mexico,Football,football,1.0,12.0,mexico,MX,27492.0,11620.0,False,8493,MAZ,False,False,0,1946,MX,Mexico,#523278,#83dfec,#83dfec,AR,Argentina,Left,1782777600.0,3400000.0,3400000.0,EUR,,,
Rodrigo Gallo,,,gallo-rodrigo,R. Gallo,D,3,178.0,4,1003722,3.0,973296000.0,Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,9814,GLP,False,False,0,3205,AR,Argentina,#ffffff,#000033,#000033,AR,Argentina,Left,,,,,,,M
Aaron Anselmino,,,anselmino-aaron,A. Anselmino,D,38,,112,1500263,38.0,1114732800.0,Boca Juniors,boca-juniors,Boca Juniors,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,112486,BOC,False,False,0,3202,AR,Argentina,#003399,#ffcc66,#ffcc66,AR,Argentina,Right,,,,,,,M
Augusto Batalla,,,augusto-batalla,A. Batalla,G,13,186.0,199,358910,13.0,830822400.0,San Lorenzo,san-lorenzo,San Lorenzo,M,Football,football,1,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1.0,48.0,argentina,AR,57507.0,155.0,False,20794,SLO,False,False,0,3201,AR,Argentina,#ff0000,#000033,#000033,AR,Argentina,Right,1703980800.0,5300000.0,5300000.0,EUR,,,
